<Traits>	iTL
BGY	26.849
5237	34.652
Xi502	22.52
M97	35.104
GEMS47	23.529
303WX	34.246
HB	34.744
MN	32.442
05W002	23.562
Si273	24.599
MO113	25.368
CIMBL47	27.646
Liao5114	22.676
4019	32.895
CIMBL84	NA
Dong46	32.11
Shen137	30.972
NMJT	31.129
Xun971	30.731
A619	32.376
DSB	27.211
GEMS2	23.705
TY9	23.959
ZaC546	20.901
ZH68	26.463
TY10	31.86
GEMS16	31.671
CIMBL66	29.304
177	10.668
W138	51.209
Dan3130	21.394
Q1261	39.142
Wu109	29.795
LY042	20.704
GEMS24	31.174
Qi319	39.638
Yu87-1	31.485
Zheng58	27.184
5311	35.862
GEMS48	35.068
Tie7922	21.14
WH413	33.472
ZZ03	25.792
CML423	26.898
IRF314	NA
GEMS5	28.72
04K5686	31.194
Ry737	17.259
CIMBL69	31.223
Liao138	33.215
Sy1052	26.917
GEMS31	28.785
Ry729	32.853
R15	30.156
FCD0602	26.906
5213	40.692
CIMBL89	29.863
Chang7-2	40.008
CIMBL96	39.792
Ry713	36.933
K12	19.209
975-12	18.161
GEMS44	26.23
By813	29.291
CML130	28.912
DH3732	15.449
GEMS1	33.767
CIMBL122	39.48
GEMS58	26.078
CIMBL136	14.919
CIMBL59	27.832
B114	31.877
CIMBL56	NA
04K5672	28.442
Gy1032	19.956
Zong31	34.273
ZB648	26.706
CIMBL76	25.384
GEMS62	21.796
LK11	23.841
GEMS56	33.743
Dan598	23.745
CIMBL6	39.264
Sy999	32.591
CIMBL48	37.378
Hu803	35.12
TY3	25
CIMBL123	25.417
CIMBL54	26.569
JY01	28.616
DH29	30.418
By4839	26.852
CML116	35.308
150	28
Lx9801	28.414
CIMBL157	29.775
GEMS55	37.869
812	29.278
WMR	20.43
CIMBL1	NA
Dan599	21.51
Gy386	NA
Tian77	24.4
Chang3	29.988
Dong237	27.288
Ji842	37.714
Zheng28	37.036
ZZ01	14.367
GEMS61	26.005
Ry684	NA
Zong3	34.59
Ji853	18.831
B111	45.41
GY386B	23.449
Zheng35	10.372
CIMBL129	27.781
LG001	13.492
3H-2	23.892
9782	29.967
LY	33.407
IRF291	19.515
CML189	23.327
CML114	NA
4F1	29.51
CIMBL83	24.19
CIMBL152	NA
CIMBL95	32.856
05WN230	36.19
CIMBL40	35.684
Ye515	36.771
By855	30.842
R15X1141	36.516
Gy220	26.595
M165	28.525
Gy237	17.283
Liao5262	17.689
By809	32.247
GEMS49	25.004
GEMS25	21.093
JH59	32.275
CML470	26.944
M153	NA
GEMS3	34.497
GEMS11	17.859
J4112	39.665
CIMBL73	23.898
TY11	36.438
TY7	NA
Sy1032	29.659
GEMS59	38.091
8902	23.689
Zheng29	41.38
CIMBL92	25.278
CIMBL86	28.22
835b	31.541
GEMS4	32.183
Ji53	28.054
GEMS6	26.203
GEMS53	20.419
CIMBL153	29.872
GEMS65	37.77
384-2	36.965
BS16	17.282
Sy1035	36.005
TY4	28.305
CML473	39.399
Nan21-3	28.891
EN25	21.561
Ry697	NA
CIMBL112	27.505
Sy3073	39.062
K22	23.331
GEMS64	31.297
CIMBL43	37.493
GEMS54	31.416
CML471	31.824
501	31.095
Ye52106	19.312
CIMBL44	33.631
Ye478	35.886
CML327	25.559
CIMBL127	24.359
GEMS39	30.157
CML432	27.326
CIMBL155	NA
BEM	33.996
CML168	30.72
GEMS35	28.71
CIMBL143	42.244
B113	26.572
TX5	28
By4960	22.395
238	22.812
GEMS27	36.075
CIMBL28	26.607
Z2018F	28.707
647	35.779
CIMBL88	34.145
TY2	36.066
Zheng22	22.489
CIMBL94	40.085
GEMS12	26.416
CIMBL91	41.947
DE.EX	35.113
