iMPALA	iMPASA	iMPALN	iMPASN	iMPAR	iA	iBPC	iBPR	iBPAR	iCL	iCi	iCMBD	iCMX	iCMY	iCo	iCHA	iCHC	iE	iOEX	iOEY	iMECD	iMARA	iOSA	iR	iSC	iAZRM	iNZRM	iMPALAt	iMPASAt	iMPALNt	iMPASNt	iMPARt	iAt	iBPCt	iBPRt	iBPARt	iCaLt	iCit	iCMBDt	iCMXt	iCMYt	iCot	iCHAt	iCHCt	iEt	iMECDt	iMARAt	iRt	iSCt	iAZRMt	iNZRMt	iNI	iNL	iPH	iMLI	iBM
2454950000	1273590000	0.680501	0.353034	1.92758	60063	5988	596.976	0.0996953	874.562	46.9706	-10.6397	1257.49	1456.23	0.135187	444296	2567.95	0.100388	799	854	936.556	593905	60063	0.036732	6	3728540000	1.03354	1462500000	152555000	0.737848	0.0769655	9.58673	44521	3488	273.267	0.0783451	816.65	7811.27	-4.47646	1192.03	1118.65	0.25784	172669	1900.47	0.657858	841.149	273239	1370.5	3	1615060000	0.814813	2	5	9.976	3.428	56015.96917
1465480000	903585000	0.892257	0.550149	1.62185	40527	5081	637.021	0.125373	847.682	12869.2	-11.7273	1244.41	1502.7	0.128201	316122	2274.31	0.0562537	818	657	874.39	474381	40527	4086.59	3	2369060000	1.44241	860242000	98255300	0.813779	0.0929484	8.75517	32513	2473	188.101	0.0760619	683.703	47.6568	-15.8973	1256.87	1144.4	0.277098	117334	1605.42	0.631994	703.924	192913	0.0698544	2	958497000	0.906727	3	5	13.884	1.779666667	34964.86946
3049890000	1398510000	0.96687	0.443354	2.18081	56164	5894	618.532	0.104943	934.949	5040.68	10.3259	1330.54	1438.86	0.121822	461032	2656.18	0.137811	841	924	986.835	643553	56164	452.398	1	4448400000	1.41022	1050390000	401714000	0.688895	0.263463	2.61477	39048	3063	240.268	0.0784419	681.705	2550.38	19.6941	1240.29	1030.32	0.210621	185395	1894.39	0.199553	744.067	330054	166.575	1	1452100000	0.952357	3	5	17.966	1.427666667	49003.57194
1351340000	453879000	1.2834	0.43106	2.9773	32449	4973	762.141	0.153256	926.232	7713.3	3.16926	1280.13	1589.5	0.123653	262419	2176.93	0.247155	880	569	953.049	388197	32449	1833.49	2	1805210000	1.71446	844672000	8901200	1.01773	0.0107249	94.8941	28809	2002	139.123	0.0694922	752.597	5131.03	19.139	1278.8	1137.91	0.587711	49019	1543.1	0.958722	774.797	69293.1	913.862	3	853573000	1.02845	2	5	11.235	2.458	30385.75203
1699320000	771022000	1.01859	0.462156	2.20399	40845	5523	746.812	0.135219	987.434	22723.5	-28.4334	1281.3	1571.84	0.104343	391450	2482.38	0.141209	788	630	1014.14	486222	40845	12641.8	5	2470350000	1.48074	822616000	11109200	0.965712	0.0130417	74.0482	29186	2340	187.611	0.0801754	737.456	1975.03	6.77799	1231.16	1111.39	0.559805	52136	1512.89	0.947411	758.626	65913.6	133.651	1	833725000	0.978754	2	5	9.227	2.071	37690.20629
2668910000	1680910000	1.05583	0.664978	1.58777	50277	6685	888.86	0.132963	1061.12	39958.3	-18.125	1195.83	1489.19	0.10142	495729	2816.99	0.0515901	1020	728	1091.61	671017	50277	31757.3	8	4349830000	1.72081	1801370000	88222600	1.17672	0.0576301	20.4185	39126	2605	173.44	0.0665798	819.413	2160.33	-28.9459	1320.28	1188.24	0.256754	152387	1849.37	0.821965	843.621	207047	119.282	1	1889600000	1.23435	2	5	14.803	2.659	47621.71378
6560940000	2496600000	1.33484	0.507943	2.62794	70108	8577	1049.31	0.12234	1492.62	93952	-0.724259	1227.28	1450.93	0.0852572	822312	3688.96	0.201353	1230	872	1537.4	1070460	70108	125905	14	9057540000	1.84279	3459510000	49935100	1.25525	0.0181184	69.2802	52498	3798	274.769	0.0723456	1048.44	5376.91	10.6473	1219.99	1141.4	0.315053	166632	2239.71	0.943895	1076.86	215697	550.709	2	3509450000	1.27337	3	5	16.225	1.599666667	60552.36212
2592920000	1277120000	1.28234	0.631605	2.03028	44967	5192	599.481	0.115462	965.064	4432.97	-54.3589	1392.3	1418.99	0.106524	422129	2686.39	0.115597	895	829	1045.89	673151	44967	437.014	1	3870040000	1.91394	2117050000	833170000	0.769996	0.303034	2.54096	52435	4246	343.826	0.0809764	821.91	83.598	-15.5434	895.383	1005.83	0.175425	298902	2309.19	0.189383	881.963	475595	0.133282	4	2950220000	1.07303	3	5	24.327	2.179	45295.13517
2097340000	677841000	1.2289	0.397169	3.09414	41312	6404	992.719	0.155015	1037.45	43008.4	15.6743	1201.36	1584.9	0.111843	369374	2482.44	0.261629	905	599	1066.05	540592	41312	44774.5	8	2775180000	1.62607	1100370000	23037400	1.02168	0.02139	47.7644	32818	3034	280.491	0.0924493	745.054	11850	9.96071	1260.04	1158.19	0.407667	80502	1592.96	0.919655	767.073	115008	4278.84	5	1123410000	1.04307	3	5	11.603	1.029	37413.98194
2046000000	865421000	0.890617	0.376715	2.36417	47930	5046	531.235	0.105278	896.835	47.3137	12.3714	1160.64	1470.41	0.142234	336980	2356.08	0.16443	684	894	919.86	442889	47930	0.0467053	4	2911420000	1.26733	480878000	113646000	0.619145	0.146322	4.23138	27869	2537	230.951	0.091033	566.359	5445.7	8.49692	1115.49	1221.02	0.250132	111417	1487.54	0.381543	597.675	198292	1064.11	3	594524000	0.765467	3	5	16.769	1.561	38152.26777
