name	dMPALA_sv1	dMPASA_sv1	dMPALN_sv1	dMPASN_sv1	dMPAR_sv1	dA_sv1	dBPC_sv1	dBPR_sv1	dBPAR_sv1	dCL_sv1	dCi_sv1	dCMBD_sv1	dCMX_sv1	dCMY_sv1	dCo_sv1	dCHA_sv1	dCHC_sv1	dE_sv1	dOEX_sv1	dOEY_sv1	dMECD_sv1	dMARA_sv1	dOSA_sv1	dR_sv1	dSC_sv1	dAZRM_sv1	dNZRM_sv1	dMPALA_sv2	dMPASA_sv2	dMPALN_sv2	dMPASN_sv2	dMPAR_sv2	dA_sv2	dBPC_sv2	dBPR_sv2	dBPAR_sv2	dCL_sv2	dCi_sv2	dCMBD_sv2	dCMX_sv2	dCMY_sv2	dCo_sv2	dCHA_sv2	dCHC_sv2	dE_sv2	dOEX_sv2	dOEY_sv2	dMECD_sv2	dMARA_sv2	dOSA_sv2	dR_sv2	dSC_sv2	dAZRM_sv2	dNZRM_sv2	dMPALAt	dMPASAt	dMPALNt	dMPASNt	dMPARt	dAt	dBPCt	dBPRt	dBPARt	dCLt	dCit	dCMBDt	dCMXt	dCMYt	dCot	dCHAt	dCHCt	dEt	dOEXt	dOEYt	dMECDt	dMARAt	dOSAt	dRt	dSCt	dAZRMt	dNZRMt	PH
154	7060090000	5436400000	0.343493	0.264496	1.29867	143366	14657	1498.46	0.102235	1158.2	22581.3	27.5834	1310.76	1257.32	0.194415	737422	3227.33	0.0168822	1074	939	1192.94	961426	143366	3556.75	2	12496500000	0.607989	4383560000	1331290000	0.414342	0.125836	3.29271	102857	8905	770.964	0.0865765	1016.39	36676.5	22.8921	1249.37	1291.21	0.239819	428895	2557.56	0.285256	608	953	1046.52	572088	102857	13078	7	5714850000	0.540178	15162100000	2265050000	0.634349	0.0947648	6.69392	154602	11707	886.495	0.0757235	1416.7	67324.8	23.4872	1316.26	1028.66	0.263762	586143	3453.47	0.547681	730	1380	1465.94	859571	154602	29318	10	17427100000	0.729113	902
160	7987430000	4749410000	0.396346	0.235672	1.68177	141960	12407	1084.34	0.0873979	1111.62	224583	2.16288	1151.61	1175.56	0.256273	553940	2826.44	0.0646302	684	1100	1144.96	747569	141960	355294	2	12736800000	0.632018	6886340000	2365600000	0.516208	0.177328	2.91103	115500	12753	1408.13	0.110416	1112.06	34039.5	0.599197	1060.56	1180.59	0.250811	460507	2799.89	0.238755	605	1094	1145.42	591547	115500	10031.9	6	9251940000	0.693536	10094900000	4781050000	0.197805	0.0936828	2.11144	225908	7019	218.081	0.0310702	877.95	17785.3	23.8666	1604.23	1259.14	0.599116	377069	2443.42	0.127599	762	805	947.206	556125	225908	1400.2	4	14875900000	0.291488	1019
166	13303500000	1289030000	0.69354	0.0671999	10.3206	138499	10816	844.669	0.0780944	1351.74	38281.3	40.8057	1395.51	1008.69	0.232757	595036	3261.46	0.677873	869	1251	1383.36	740246	138499	10581	5	14592500000	0.76074	13700000000	9681660000	0.588681	0.416014	1.41505	152553	19020	2371.38	0.124678	1464.76	114110	20.1833	1278.11	981.282	0.117196	1301690	4250.14	0.0295356	1462	1254	1510.82	1688060	152553	85353.7	8	23381700000	1.0047	69265500000	16865100000	0.581486	0.141583	4.10702	345135	14155	580.538	0.0410129	2006.84	32547.2	-43.0672	1283.48	858.804	0.223669	1543060	5033.38	0.370129	1918	1203	2061.03	2113030	345135	3069.29	3	86130700000	0.723069	1338
172	1565960000	1110350000	0.452433	0.3208	1.41033	58832	6880	804.569	0.116943	789.788	20966.9	5.60943	1207.33	1432.9	0.209076	281390	2151.05	0.0289805	644	695	821.972	418947	58832	7472.29	4	2676320000	0.773233	1916240000	1089510000	0.687696	0.391001	1.75881	52787	9058	1554.31	0.171595	754.269	39621.7	0.48326	1256.91	1437.53	0.144982	364094	2225.95	0.0756519	733	733	797.823	436666	52787	29739.9	6	3005750000	1.0787	3697480000	1630740000	0.411502	0.181489	2.26737	94791	5720	345.164	0.0603433	894.786	14046.4	6.22766	1352.36	1182.15	0.240963	393384	2491.29	0.150456	852	841	919.118	439362	94791	2081.44	3	5328220000	0.592991	1041
901	3847080000	3466720000	0.582222	0.524658	1.10972	81287	11546	1639.99	0.14204	925.247	13143	-19.2231	1400.4	1424.41	0.167998	483856	2776.49	0.00270463	882	824	1060.63	725063	81287	2125.05	2	7313790000	1.10688	3327940000	1224400000	0.54387	0.200099	2.71801	78224	9626	1184.55	0.123057	904.925	167.823	-7.09332	1087.25	1418.02	0.201062	389054	2402.04	0.213516	662	828	931.31	471529	78224	0.360052	6	4552340000	0.743968	5180920000	2445310000	0.360765	0.170275	2.11872	119837	7809	508.862	0.0651635	951.775	28960.3	-37.4055	1529.14	931.576	0.289888	413391	2561.79	0.128674	765	927	985.156	531571	119837	6998.65	5	7626230000	0.531041	1111
907	15234700000	5204850000	0.567136	0.193758	2.92703	163898	15414	1449.63	0.0940463	1366.35	75370.1	30.5575	1268.07	1081.73	0.179211	914551	3679.7	0.240795	975	1282	1407.34	1109830	163898	34659.6	6	20439600000	0.760895	12984800000	4717830000	0.559886	0.203425	2.75229	152289	15808	1640.91	0.103803	1295.34	36280.5	20.7835	1199.62	1097.14	0.170156	894998	3538.57	0.218082	995	1277	1330.13	1123460	152289	8643.28	3	17702700000	0.763311	47558100000	10413200000	0.487641	0.106772	4.5671	312293	11822	447.527	0.0378555	1621.57	16272.1	-0.691694	1463.61	1202.32	0.307053	1017060	4049.86	0.410556	1269	1330	1668.61	1530370	312293	847.863	2	57971300000	0.594413	1207
178	18332900000	2627240000	0.55163	0.0790526	6.97801	182302	13177	952.449	0.0722812	1277.89	335.823	19.1362	1282.14	1165.09	0.292164	623971	3248.73	0.561467	694	1254	1319.18	715303	182302	0.618629	6	20960100000	0.630683	15941500000	13570000000	0.630168	0.536423	1.17476	159051	21887	3011.87	0.13761	1414.09	183546	18.6016	1297.9	1138.75	0.128152	1241110	4081.56	0.00645741	1227	1267	1467.3	1552120	159051	211813	11	29511500000	1.16659	48955900000	2028780000	0.743252	0.0308011	24.1306	256646	8554	285.104	0.03333	1671.9	89.2548	12.0868	1277.16	1075.54	0.474044	541397	3777.72	0.847165	1601	903	1702.02	765679	256646	0.0310405	4	50984700000	0.774053	1021
184	14333400000	8720570000	0.940532	0.572229	1.64363	123449	17962	2613.5	0.145501	1553.57	2063.96	3.57292	1252.46	973.899	0.0796594	1549710	4661.71	0.0592748	1463	1421	1685.53	2018160	123449	34.5076	8	23054000000	1.51276	14816000000	2006570000	0.942423	0.127635	7.38374	125384	14108	1587.41	0.112518	1422.54	110415	14.2941	1322.71	991.93	0.143043	876545	3795.47	0.579795	935	1388	1491.44	1283160	125384	97233.2	11	16822500000	1.07006	88720400000	8063050000	0.863036	0.078434	11.0033	320625	16000	798.441	0.0499025	2134.74	54733.2	-6.45554	1213.33	1128.88	0.236366	1356480	5049.44	0.694522	1062	2056	2198.78	2027690	320625	9343.39	5	96783500000	0.94147	1278
913	8875740000	2931750000	0.324149	0.10707	3.02745	165474	12638	965.221	0.0763745	1017.21	32681.4	5.15012	1314.3	1283.89	0.375075	441176	2601.23	0.25342	583	1010	1048.51	563969	165474	6454.62	5	11807500000	0.431219	8750290000	7145470000	0.466618	0.38104	1.22459	136940	19169	2683.3	0.139981	1017.55	58589.9	2.02486	1265.56	1278.71	0.185891	736667	3088.54	0.0101927	981	991	1056.45	931578	136940	25067.7	5	15895800000	0.847658	17619900000	853014000	0.643595	0.0311577	20.6561	165461	8380	424.417	0.0506464	1269.2	1053.92	38.4477	1276.24	1072.69	0.496311	333382	2863.58	0.823824	1180	701	1303.15	523138	165461	6.71306	16	18472900000	0.674753	899
919	7736580000	4505590000	0.401943	0.234081	1.71711	138737	12255	1082.52	0.0883326	1116.65	44223.2	28.2461	1306.88	1113.3	0.211619	655597	3104.41	0.0696555	902	1074	1171.64	933129	138737	14096.4	6	12242200000	0.636024	8284290000	6419050000	0.496576	0.38477	1.29058	129162	15966	1973.59	0.123612	1103.26	97367	18.5929	1272.19	1128.59	0.164499	785183	3302.74	0.0160929	1078	1069	1207.53	1047140	129162	73398.8	8	14703300000	0.881346	42129300000	8772040000	0.423746	0.0882312	4.80268	315311	11710	434.885	0.0371379	1563.11	69164.5	-12.3287	1319.07	1128.3	0.358359	879874	3834.57	0.429459	1429	1169	1593.81	1136500	315311	15171.5	10	50901300000	0.511977	1142
