iLI1	iLI2	iLI3	iLI4	iLI5	iLI6	iLI7	iLI8	iLI9	iLI10	iLI11	iLI12	iPH	stage
0.309	1.069	1.137	1.844	0.148	2.178	1.032	0.312	0.18	1.234	1.482	4.905	5.145	S6_S5
1.122	0.822	1.572	2.207	1.212	1.465	1.616	2.753	0.153	1.389	5.2	8.247	5.185	S6_S5
1.137	1.857	2.643	3.097	2.91	0.044	1.61	1.142	5.155	5.171	10.367	11.939	11.956	S6_S5
0.569	1.814	1.612	1.188	1.524	0.211	0.685	3.755	3.921	2.757	2.143	4.01	16.293	S6_S5
2.794	2.082	0.294	0.675	0.837	2.604	0.76	0.691	2.057	7.244	9.484	9.347	16.558	S6_S5
2.428	0.269	3.537	1.287	0.952	2.084	0.104	4.66	3.185	6.707	12.58	10.865	20.012	S6_S5
0.627	1.528	2.175	1.623	0.52	4.69	0.301	2.304	5.806	7.184	6.346	5.67	21.413	S6_S5
0.602	1.592	0.359	2.653	5.37	3.513	1.858	1.9	2.089	4.802	6.033	6.718	22.028	S6_S5
1.301	0.753	0.314	0.107	1.008	0.423	0.981	3.987	3.033	6.298	6.687	7.967	22.675	S6_S5
1.295	0.323	6.934	5.375	0.244	0.537	2.063	3.231	5.098	6.097	5.733	3.183	22.766	S6_S5
3.9	0.61	1.203	1.932	1.295	2.504	2.621	4.995	5.632	5.564	5.79	8.676	22.809	S6_S5
6.798	0.417	0.949	0.112	1.424	1.409	2.992	3.887	6.466	9.488	10.035	9.363	24.163	S6_S5
2.743	3.12	1.047	1.746	1.444	1.791	1.135	3.826	3.975	6.197	7.565	6.576	24.388	S6_S5
1.406	1.476	1.893	1.411	3.769	2.674	2.136	5.305	4.27	5.506	5.992	6.804	24.794	S6_S5
3.746	0.654	1.869	7.313	6.421	3.074	7.134	8.886	16.435	15.523	15.979	0	25.261	S6_S5
4.216	0.182	3.869	5.513	2.17	0.239	2.125	1.74	5.361	9.719	10.566	8.842	25.48	S6_S5
2.595	1.287	1.471	2.072	0.12	1.609	2.244	5.707	6.008	9.931	5.241	3.313	25.845	S6_S5
4.277	2.269	0.246	0.827	2.749	3.271	5.589	2.744	3.432	7.129	11.455	10.621	26	S6_S5
0.221	2.449	2.551	2.541	3.373	3.519	1.727	3.205	3.554	8.254	7.956	7.398	26.058	S6_S5
6.098	0.575	1.386	4.028	4.214	1.66	0.507	7.619	8.383	7.294	5.561	3.919	26.338	S6_S5
4.529	2.374	1.105	1.251	3.712	0.841	4.392	2.908	6.667	5.716	10.071	8.304	26.346	S6_S5
0.642	0.18	2.574	2.426	1.113	1.144	1.105	1.264	6.212	3.329	8.065	5.189	26.369	S6_S5
1.014	2.968	0.829	1.525	1.343	4.014	2.75	3.883	4.807	5.206	8.467	7.177	26.5	S6_S5
3.082	2.164	1.239	3.64	4.485	2.566	3.244	5.958	5.532	6.689	5.121	3.754	27.348	S6_S5
4.175	0.831	1.287	2.671	2.095	3.055	1.152	2.541	6	8.257	8.809	5.963	27.403	S6_S5
2.178	1.62	0.048	0.338	1.163	1.139	1.649	4.364	6.747	9.126	9.803	10.414	27.486	S6_S5
0.843	1.036	0.077	0.041	3.363	0.2	0.828	6.093	4.116	7.63	8.192	7.494	27.89	S6_S5
